name,rating,category,price_wna,city,address
Kabana Ubud By K Club,5.0,Bar,300000.0,Gianyar,"Jalan Raya Cebok, Tegalalang 80561 Indonesia"
Nautilus Seafood Restaurant & Bar,5.0,Bar,300000.0,Gianyar,"Jl. Suweta No.80, Ubud, Ubud 80571 Indonesia"
MoonLite Kitchen and Bar,4.5,Asian,300000.0,Badung,"Jl. Abimanyu Jl. Dhyana Pura, Seminyak 80361 Indonesia"
The Power of Love - Samabe Cave Dining,5.0,Seafood,500000.0,Badung,"Jl. Pura Barong-Barong Sawangan, Nusa Dua, Benoa 80363 Indonesia"
Koral Restaurant,5.0,International,500000.0,Badung,"Jl. Raya Nusa Dua Selatan The Apurva Kempinski Bali, Nusa Dua, Benoa 80361 Indonesia"
Akasa Jumeirah Bali,5.0,Seafood,300000.0,Badung,"Raya Uluwatu Street, Pecatu Indonesia"
Ambar Ubud Bar,5.0,Japanese,500000.0,Gianyar,"Jalan Raya Kedewatan, Ubud 80571 Indonesia"
Copper Kitchen & Bar,4.5,Steakhouse,300000.0,Gianyar,"Jl. Bisma No.68 Ubud, Ubud 80571 Indonesia"
Gabah Indonesian Cuisine,4.5,Indonesian,300000.0,Badung,"Jl. Bakung Sari Ramayana Resort & Spa, Kuta 80361 Indonesia"
Kaukau Restaurant,5.0,Asian,300000.0,Gianyar,"Jalan Katik Lantang Arkamara Dijiwa Resort, Singakerta, Ubud 80571 Indonesia"
Bawang Merah Beachfront Restaurant,4.5,Seafood,300000.0,Badung,"Jl. Pantai Kelan No 1 Kelan Beach, Jimbaran 80361 Indonesia"
Tis Cafe,4.5,Southwestern,100000.0,Gianyar,"Jl. Raya Ceking, Tegalalang 80561 Indonesia"
Bene Italian Kitchen,4.5,Italian,300000.0,Badung,"Jl. Pantai Kuta Sheraton Bali Kuta Resort, level 2, Kuta 80361 Indonesia"
Three Monkeys Sanur,4.5,European,300000.0,Denpasar,"Jl. Danau Tamblingan, Sanur, Denpasar 80222 Indonesia"
DONBIU,5.0,International,300000.0,Badung,"Jl. Padma No. 1 Padma Resort Bali, Legian 80361 Indonesia"
DAVA Steak & Seafood Restaurant,5.0,Steakhouse,500000.0,Badung,"Jl. Karang Mas Sejahtera, Jimbaran 80364 Indonesia"
Naughty Nuri's Sanur,5.0,American,300000.0,Denpasar,"Jl. Bypass Ngurah Rai No 77, Sanur, Denpasar 80228 Indonesia"
Botanist Restaurant Ubud,5.0,American,300000.0,Gianyar,"Jalan Kelabang Moding, Banjar Bentuyung, Ubud 80571 Indonesia"
Warung Baby Monkeys,4.5,Asian,100000.0,Denpasar,"Jl. Sudamala 6, Sanur, Denpasar Indonesia"
Warung Dandelion,4.5,Asian,100000.0,Badung,"Jl. Batu Bolong No.10, Canggu 80361 Indonesia"
Sleeping Gajah Kitchen & Lounge,5.0,International,300000.0,Karangasem,"Banjar Dinas Tebola Wapa di Ume Sidemen, Sidemen, Karangasem 80864 Indonesia"
Gong Restaurant - Indonesian and Balinese Cuisine,4.5,Seafood,300000.0,Denpasar,"Jl. Tirta Akasa no. 28, Sanur, Denpasar 80227 Indonesia"
Pala Restaurant & Rooftop Bar,5.0,International,300000.0,Badung,"Jalan Raya Nusa Dua Selatan The Apurva Kempinski Bali, Nusa Dua, Benoa 80361 Indonesia"
Unique Rooftop Bar & Restaurant,4.5,Mexican,300000.0,Badung,"Jl. Karang Mas Sejahtera Rimba Resort, Jimbaran 80364 Indonesia"
Soleil,5.0,Italian,500000.0,Badung,"Jl. Raya Nusa Dua Selatan Mulia Resort, Kawasan Sawangan, Nusa Dua, Benoa 80362 Indonesia"
Bale Udang Mang Engking Kuta,4.5,Seafood,300000.0,Badung,"Jl. Nakula No. 88, Kuta 80119 Indonesia"
Asmat Restaurant Amed,5.0,European,300000.0,Karangasem,"Mathis Lodge via Lean Village, Jl Raya Amed, Bunutan, Karangasem 80852 Indonesia"
Vincent's Restaurant,4.5,European,300000.0,Karangasem,"Jalan Raya Candidasa, Candidasa, Karangasem Indonesia"
Waroeng Bernadette,5.0,Indonesian,100000.0,Badung,"Jl. Kayu Aya No.17 Kayu Aya Square Oberoi, Seminyak 80361 Indonesia"
Azul Beach Club,4.5,Bar,300000.0,Badung,"Jl. Padma No. 2 Bali Mandira Beach Resort & Spa, Legian 80361 Indonesia"
Secret Garden Restaurant,5.0,Seafood,300000.0,Buleleng,"Jl. Pura Dalem, Anturan, Lovina Beach 81116 Indonesia"
El Kabron Bali,5.0,International,300000.0,Badung,"Jl. Pantai Cemongkak, Pecatu 80361 Indonesia"
Kisik Seafood & Grill,4.5,Seafood,500000.0,Badung,"Jl. Karang Mas Sejahtera, Jimbaran 80364 Indonesia"
Shrida Restaurant - Taste Of Ubud,5.0,Steakhouse,300000.0,Gianyar,"Jln. Bisma, Ubud, Gianyar, Bali, Ubud 80571 Indonesia"
Mambo Beach Restaurant Beach Bar & Cafe Nusa Penida,5.0,American,300000.0,Klungkung,"Jalan Ped - Buyuk, Ped 80771 Indonesia"
Tamarind Mediterranean Restaurant,4.5,Seafood,300000.0,Badung,"Lot North 4 Nusa Dua Beach Hotel & Spa, Nusa Dua, Benoa 80361 Indonesia"
Lilla Pantai,4.5,Bar,300000.0,Denpasar,"Jalan Duyung Jalan Sanur Beach Street Walk, Sanur, Denpasar 80228 Indonesia"
Zai Cafe,5.0,Mediterranean,300000.0,Badung,"Jl. Pantai Batu Bolong, Canggu 80351 Indonesia"
The Botanist By Desa Eko,4.5,Italian,300000.0,Buleleng,"Jl. Kayu Putih - Munduk The Botanist, Munduk, Banjar 81152 Indonesia"
Beach Boy Canggu,5.0,International,300000.0,Badung,"Jl. Munduk Catu No.8, Canggu 80361 Indonesia"
La Brisa,4.0,Bar,300000.0,Badung,"Jl. Pantai Batu Mejan Gang La Brisa Echo Beach, Canggu 80361 Indonesia"
Warung Ketut,5.0,Seafood,100000.0,Karangasem,"Jl. Raya Lipah, Amed, Bunutan, Karangasem 80852 Indonesia"
Asri Dining By Samanvaya,5.0,International,300000.0,Karangasem,"Banjar Tabola, Telaga Tawang, Sidemen, Karangasem 80864 Indonesia"
Le Bleu By K Club,5.0,Seafood,500000.0,Badung,"Ji. Nusa Dua Lot C-01 ITDC Area, Nusa Dua, Benoa 80363 Indonesia"
The Cave Bali By Chef Ryan Clift,4.0,International,500000.0,Badung,"Jl. Pura Goa Lempeh Banjar Dinas Kangin, Uluwatu, Pecatu 80361 Indonesia"
Sakura Japanese Restaurant,5.0,Japanese,500000.0,Badung,"Kawasan Pariwisata Lot. 1, Nusa Dua, Benoa 80363 Indonesia"
Omma Bali,4.5,Japanese,300000.0,Gianyar,"Kemenuh, Sukawati 80581 Indonesia"
Nelayan Restaurant & Puri Bar,4.5,Bar,300000.0,Badung,"Jalan Raya Uluwatu Jalan Yoga Perkanthi Jimbaran Puri, Jimbaran 80361 Indonesia"
Amok Sunset Bar And Restaurant,4.5,International,300000.0,Klungkung,"Gamat Bay, Sakti 80771 Indonesia"
Seasalt,5.0,Seafood,500000.0,Badung,"Jl. Taman Ganesha no. 9 Petitenget, Seminyak 80361 Indonesia"
Sukun Restaurant Nusa Dua,5.0,Asian,300000.0,Badung,"Jl. Pratama No.87, Tanjung Benoa 80363 Indonesia"
Poppies Restaurant,4.5,International,300000.0,Badung,"Poppies Lane 1 / 19 Jalan Legian, Kuta 80361 Indonesia"
Restaurant Bukit Segara,5.0,Seafood,300000.0,Karangasem,"Jl. Raya Bunutan Villa Bukit Segara, Karangasem 80852 Indonesia"
The Grumpy Butcher,5.0,Steakhouse,300000.0,Badung,"Jl. Petitenget No.21A, Kerobokan 80361 Indonesia"
Ganesh Lodge,5.0,European,300000.0,Karangasem,"Jl. Puri Bagus, Candidasa, Karangasem 80851 Indonesia"
O Club By Oculus Bali,5.0,Italian,300000.0,Bangli,"Jl. Windu Sara Jl. Windu Sara, Kedisan, Kec. Kintamani, Kabupaten Bangli, Bali 8065, Kintamani 80652 Indonesia"
Buda Bakery & Resto,4.5,European,300000.0,Buleleng,"Jl. I Gede Taman Perumahan BTN Graha Lovina, Anturan, Lovina Beach 81152 Indonesia"
Ulu Garden,5.0,Bar,300000.0,Badung,"Jl. Pantai Padang-padang (behind Bgs), Pecatu 80361 Indonesia"
Warung Lu Putu,4.5,Bar,300000.0,Karangasem,"Jl. Mendira, 9 Sengkidu, Manggis, Candidasa, Karangasem 80871 Indonesia"
Bumbu Bali Restaurant & Cooking School,4.5,Indonesian,300000.0,Badung,"Jalan Pratama, Tanjung Benoa 80363 Indonesia"
Fisherman's Club,5.0,Bar,300000.0,Denpasar,"Jalan Danau Tamblingan 89a Andaz Bali, Denpasar 80228 Indonesia"
Sukun Restaurant Kuta,5.0,Indonesian,300000.0,Badung,"Jalan Kartika Plaza, Gang Puspa Ayu No. 99 Amnaya Resort Kuta, Kuta 80361 Indonesia"
Hai Ri Zen,5.0,Seafood,300000.0,Klungkung,"Mushroom Bay, 80771 Indonesia"
Fat Bowl,4.0,Indonesian,300000.0,Badung,"Jl. Padma No. 2, Legian 80361 Indonesia"
Lumbung Restaurant,5.0,Contemporary,300000.0,Gianyar,"Jalan Suweta Visesa Ubud Resort, Ubud 80571 Indonesia"
Soka Warung,5.0,Asian,100000.0,Klungkung,"Tamarind Road, 80771 Indonesia"
Boy'N'Cow,5.0,Steakhouse,500000.0,Badung,"Jl. Raya Kerobokan no. 138, Seminyak 80361 Indonesia"
Reef Beach Club,5.0,Bar,300000.0,Badung,"Jalan Raya Nusa Dua Selatan The Apurva Kempinski Bali, Nusa Dua, Benoa 80361 Indonesia"
Warung Made's Munduk,5.0,Asian,100000.0,Buleleng,"Jl. Kayu Putih, Munduk, Banjar 81161 Indonesia"
"Luna Rooftop Bar, Bali",5.0,Bar,300000.0,Badung,"Jalan Karang Mas Sejahtera At Ayana Segara, Jimbaran 80361 Indonesia"
The Coffee Club Legian,5.0,Cafe,300000.0,Badung,"Jl. Pantai Arjuna No.18 Double Six Beach, Legian 80361 Indonesia"
Omang Omang Bar Diner,4.5,Bar,300000.0,Karangasem,"Jl. Silayukti no. 12 Karangasem, Padangbai 80872 Indonesia"
The Jungle Club Ubud,5.0,Bar,500000.0,Gianyar,"Jl. Jaga Raga No.8A, Sukawati 80582 Indonesia"
Warung Bambu Pemaron,4.5,Asian,300000.0,Buleleng,"Jalan Hotel Puri Bagus, Desa Pemaron, Singaraja 81119 Indonesia"
Mama San,4.5,Chinese,300000.0,Badung,"Jl. Raya Kerobokan No.135, Kerobokan 80361 Indonesia"
Ling-Ling's Bali,5.0,Japanese,300000.0,Badung,"Jl. Petitenget no. 43B, Seminyak 80361 Indonesia"
The Dungki Bendega Resto,5.0,Healthy,100000.0,Klungkung,"Secret Beach Road Nusa Ceningan, 80771 Indonesia"
Seminyak Kitchen,5.0,International,300000.0,Badung,"Jl. Camplung Tanduk no. 103 SP, Dhyana Pura, Seminyak 80361 Indonesia"
Barbacoa Bali,4.5,Barbecue,300000.0,Badung,"Jl. Petitenget No. 14, Kerobokan 80361 Indonesia"
The View Munduk Restaurant,4.5,Asian,300000.0,Buleleng,"Jl. Raya Kayu Putih Tamblingan Munduk Br. Tamblingan, Munduk, Banjar 81152 Indonesia"
Warung D'Bucu,5.0,International,100000.0,Buleleng,"Jl. Taman Sari Turn left at the first cross about 50m on the left side, Pemuteran, Gerokgak 81155 Indonesia"
Boardwalk Restaurant & Lounge,4.5,American,300000.0,Badung,"Jl. Kartika Plaza Entrance Via Bali Garden Beach Resort Or Via Kuta Beach Next To Discovery Mall, Tuban, Kuta 80361 Indonesia"
Warung Napoli,5.0,Italian,100000.0,Badung,"Jl. Dewi Sri, Legian, Kuta, Kabupaten Badung, Legian 80361 Indonesia"
Asian Spice Restaurant,4.5,Japanese,300000.0,Badung,"Jl. Padma Rama Residence Padma, Legian 80361 Indonesia"
Acropora Bar & Restaurant,5.0,Chinese,300000.0,Klungkung,"Banjar Anyar Pramana Natura Nusa Penida, Sakti 80771 Indonesia"
Jaring Kitchen & Drinks,5.0,International,100000.0,Buleleng,"Jl. I Gede Taman & Gang Bintang In Front Of Situ's Kalibukbuk, Anturan, Lovina Beach 81152 Indonesia"
AKAR Cafe Lovina,4.5,Cafe,300000.0,Buleleng,"Jalan Binaria, Lovina Beach 81151 Indonesia"
The Sage Bali,5.0,Cafe,100000.0,Buleleng,"Jl. Singaraja Gilimanuk, Pemuteran, Gerokgak 81155 Indonesia"
Penida Colada Beach Bar,4.5,Bar,300000.0,Klungkung,"Jl. Ped-Buyuk, Ped 80771 Indonesia"
Made Bagus Cafe,4.5,Seafood,300000.0,Badung,"Muaya Beach, Jimbaran 80361 Indonesia"
The Colonial,4.5,European,300000.0,Karangasem,"Jl. Silayukti no. 6 OK Divers Resort & Spa, Padangbai 80872 Indonesia"
Finns Beach Club,4.5,Bar,300000.0,Badung,"Jl. Pantai Berawa No. 99, Canggu 80361 Indonesia"
Cloudland Bar Lembongan,5.0,Bar,100000.0,Klungkung,"Sunset Road, 80771 Indonesia"
Sandy Bay Beach Club,4.0,Bar,300000.0,Klungkung,80771 Indonesia
Warung Amphibia Seafood,4.5,Seafood,100000.0,Denpasar,"Jalan Pantai Sindhu, Sanur, Denpasar 80228 Indonesia"
O Beach Bali,5.0,Bar,300000.0,Badung,"Jl. Abimanyu Jl. Dhyana Pura, Seminyak 80361 Indonesia"
Ombak Cafe & Huts,4.5,Cafe,100000.0,Klungkung,Jungutbatu 80771 Indonesia
Ji Restaurant Bali,5.0,Japanese,300000.0,Badung,"Jl. Pantai Batu Bolong Hotel Tugu Bali, Canggu 80361 Indonesia"
Tropical Temptation  - Adult Only Beach Club,5.0,Bar,300000.0,Badung,"Jalan Pantai Melasti No 8, Ungasan 80361 Indonesia"
Hai Bar & Grill,4.5,Bar,300000.0,Klungkung,Mushroom Bay Lembongan Island Indonesia
Warong Legong,5.0,International,100000.0,Gianyar,"Jln by Pass Ida Bagus Mantra Keramas, Gianyar 80851 Indonesia"
Omang Omang,5.0,Seafood,300000.0,Denpasar,"Jalan Danau Tamblingan No. 89 Hyatt Regency Bali, Sanur, Denpasar 80228 Indonesia"
Paed Thai Sanur by Wonderspace,5.0,Asian,300000.0,Denpasar,"Jl. Bypass Ngurah Rai No.888A, Sanur, Denpasar 80228 Indonesia"
Warung Nia,4.5,Indonesian,100000.0,Badung,"Kayu Aya Square, Number 19-21, Seminyak 80361 Indonesia"
Green Kubu Cafe,4.5,Indonesian,100000.0,Gianyar,"Jl. Cinta, Tegalalang 80561 Indonesia"
Canvas Cafe Bali,5.0,Cafe,300000.0,Denpasar,"Jl. Hang Tuah No. 45, Sanur, Denpasar 80227 Indonesia"
Nook Umalas,4.0,Cafe,300000.0,Badung,"Jl. Umalas 1, Kerobokan 80365 Indonesia"
Daily Social,5.0,International,300000.0,Badung,"Jl. Pantai Kuta Beachwalk Shopping Center, Kuta 80361 Indonesia"
Johnny Tacos,5.0,Mexican,100000.0,Badung,"Jl. Kartika Plaza, gang samunda #17 Across from Bakung Beach Resort, Kuta 80361 Indonesia"
White Rock Beach Club,5.0,Bar,300000.0,Badung,"Melasti Beach, Ungasan 80361 Indonesia"
Montana Del Cafe,4.5,Cafe,300000.0,Bangli,"Jl. Raya Penelokan No.889, Kintamani 80652 Indonesia"
Cretya Ubud,4.5,International,300000.0,Gianyar,"Jl. Raya Tegallalang Alas Harum, Ubud 80561 Indonesia"
Mana Uluwatu,4.5,Mexican,300000.0,Badung,"Jl. Pantai Suluban Uluwatu Surf Villas, Pecatu 80361 Indonesia"
Tsavo Lion Restaurant,4.5,Contemporary,300000.0,Gianyar,"Km. 19 Jl Bypass Prof. Dr. Ida Bagus Mantra 8 Bali Safari and Marine Park, Gianyar 80551 Indonesia"
Bella Italia Legian,4.5,Italian,300000.0,Badung,"Jl. Sriwijaya no. 368, Legian 80361 Indonesia"
Oliverra,4.5,Seafood,500000.0,Badung,"Jl. Melasti, Banjar Kelod, Ungasan 80364 Indonesia"
Secret Penida Beach Club,4.5,Cafe,100000.0,Klungkung,"Jl.Ped – Buyuk 10 meters from “Ari Place”, 80771 Indonesia"
Arcadia Restaurant Ubud,5.0,International,500000.0,Gianyar,"Jalan Raya Campuhan Tjampuhan Bridiges, Ubud 80571 Indonesia"
Kuta Social Club,5.0,Bar,300000.0,Badung,"Jl. Pantai Kuta No.32 Mamaka By Ovolo, Kuta 80361 Indonesia"
Ikan Restaurant & Bar,4.5,Seafood,300000.0,Badung,"Kawasan Pariwisata Nusa Dua, BTCD Lot N-3, Nusa Dua, Benoa 80363 Indonesia"
Warung Forest,5.0,Bar,100000.0,Klungkung,80771 Indonesia
The Damai Restaurant,4.5,Asian,500000.0,Buleleng,"Jl. Damai, Kayuputih The Damai Hotel, Lovina Beach 81161 Indonesia"
"Tsune Sanur, Japanese Restaurant By Wonderspace",5.0,Japanese,300000.0,Denpasar,"Jl. Aruna No. 8A, Sanur Kaja, Denpasar 80237 Indonesia"
Warung Sabar,5.0,Seafood,100000.0,Karangasem,"Jl. Raya Lipah Bunutan, Karangasem 80852 Indonesia"
Klyf Club,4.5,Seafood,300000.0,Klungkung,80771 Indonesia
Cuca Restaurant,4.5,International,500000.0,Badung,"Jl Yoga Perkanthi, Jimbaran 80364 Indonesia"
Honey & Smoke,4.5,Grill,300000.0,Gianyar,"Jl. Monkey Forest No.67B, Kedewatan, Ubud 80571 Indonesia"
Al Dente Cucina Italiana & Lounge,4.5,Italian,300000.0,Badung,"Jalan Kartika Plaza, Kuta 80361 Indonesia"
Akasha Restaurant,4.5,Asian,300000.0,Gianyar,"Jalan Sinta New Earth Haven, Keliki Tegallalang, Kelusa, Payangan 80561 Indonesia"
Murni’s Warung,4.5,International,300000.0,Gianyar,"Jalan Campuan Beside the bridge, Ubud 80571 Indonesia"
Nick's Place,4.5,American,100000.0,Klungkung,"Jl. Raya Lembongan Jungut Batu, 80771 Indonesia"
Sundays Beach Club,4.5,Bar,300000.0,Badung,"Jl. Pantai Selatan Gau Kuta Sel, Ungasan 80362 Indonesia"
Sisterfields,4.5,Cafe,300000.0,Badung,"Jl. Kayu Cendana no. 7, Seminyak 80361 Indonesia"
Qudo Uluwatu,5.0,Pizza,300000.0,Badung,"Jl. Labuansait No.250, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Pecatu Indonesia"
Blue Earth Village,4.5,Italian,300000.0,Karangasem,"Jl. Raya Amed, Karangasem 80852 Indonesia"
Melali Ubud Restaurant,5.0,Bar,300000.0,Gianyar,"Jl. Sri Wedari No.58 Ubud, Ubud 80571 Indonesia"
Massimo - Italian Restaurant,4.5,Italian,300000.0,Denpasar,"Jln. Danau Tamblingan 228, Sanur, Denpasar 80237 Indonesia"
Eight Degrees South at Conrad Bali,4.5,Seafood,500000.0,Badung,"Jalan Pratama 168 Conrad Bali, Tanjung Benoa 80363 Indonesia"
Shrimpis,5.0,Seafood,300000.0,Badung,Seminyak 80361 Indonesia
Soul on the Beach,4.5,Pizza,300000.0,Denpasar,"Jl. Pantai Sindhu On The Beach Next To INNA Sindhu Beach Hotel, Sanur, Denpasar 80227 Indonesia"
Swan Restaurant Keramas,4.5,Italian,300000.0,Gianyar,"Jalan Pantai Keramas, Keramas, Blahbatuh, Keramas, Blahbatuh 80581 Indonesia"
Warung Makan SMS,4.5,Asian,100000.0,Denpasar,"Jl. Betngandang 1 no. 25 Sanur Denpasar, Sanur, Denpasar 80227 Indonesia"
Seabreeze Ceningan,4.5,American,100000.0,Klungkung,"Jl. Raya Nusa Ceningan 300 Meter From Yellow Bridge And Turn Right, 80771 Indonesia"
Bali Asli Restaurant,4.5,Asian,300000.0,Karangasem,"Jl. Raya Gelumpang Gelumpang Village, Karangasem 80870 Indonesia"
Bamboo Restaurant Tulamben,5.0,International,300000.0,Karangasem,"Jl. Raya Kubu Tauch Terminal Resort Tulamben Und Spa, Tulamben 80852 Indonesia"
Bella Cucina,5.0,Italian,500000.0,Badung,"Jl. Uluwatu 45 InterContinental Bali Resort, Jimbaran 80361 Indonesia"
Senja Bar & Resto,5.0,International,300000.0,Gianyar,"Jl. Bisma Goya Boutique Resort, Ubud 80571 Indonesia"
Bambu Bali - Seminyak,4.5,Indonesian,500000.0,Badung,"Jalan Petitenget No 198, Kerobokan Kelod 80361 Indonesia"
Kepitu Restaurant At The Kayon Resort,5.0,European,300000.0,Gianyar,"Banjar Bresela Desa Bresela Ubud, Ubud 80572 Indonesia"
Mr. Bob Bar And Grill Tanjung Benoa,4.5,Bar,300000.0,Badung,"Jl. Pratama the opposite of Taman Bhagawan, Tanjung Benoa 80361 Indonesia"
Locavore Nxt,4.5,Cafe,500000.0,Gianyar,"Jl. A.A. Gede Rai, Gang Pura Panti Bija, Lodtunduh, Ubud 80571 Indonesia"
Bai Yun,5.0,Chinese,500000.0,Badung,"Jalan Raya, Nusa Dua, Benoa 80361 Indonesia"
Sami Sami,4.5,Italian,300000.0,Badung,"Jl. Karang Mas Sejahtera, Jimbaran 80364 Indonesia"
Shinta Warung,5.0,International,100000.0,Badung,"Jl. Kartika Plaza, Gang Puspa Ayu, Kuta 80117 Indonesia"
The Pad on Bene,4.5,Bar,100000.0,Badung,"168 Jalan Lebak Bene, Legian 80361 Indonesia"
Garpu Restaurant,4.5,Seafood,300000.0,Karangasem,"Jl Raya Sengkidu, Candidasa Beach Rama Candidasa Hotel, Candidasa, Karangasem 80801 Indonesia"
Bee Cafe Ubud,5.0,Cafe,100000.0,Gianyar,"Jl. Sawah Indah, Peliatan, Ubud 80571 Indonesia"
Secret Rooftop By Happy Cow Bali,4.5,Steakhouse,100000.0,Badung,"Jl. Gong Kebyar No. 32, Jimbaran 80362 Indonesia"
Bandar Nelayan Seafood,5.0,Chinese,300000.0,Denpasar,"Jl. Bypass Ngurah Rai Suwung Kauh No 659, Denpasar 80228 Indonesia"
Sorrento Mediterranean Restaurant,5.0,Seafood,500000.0,Badung,"Jl. Raya Nusa Dua Selatan in Melia Bali Indonesia Hotel, Nusa Dua, Benoa 80363 Indonesia"
Sunset Beach Bar & Grill,4.5,Bar,300000.0,Badung,"Jl Uluwatu no 45 InterContinental Bali Resort, Jimbaran 80361 Indonesia"
Sushi Bar Bali,5.0,Japanese,300000.0,Badung,"Jalan Pantai Berawa Finns Beach Club, Canggu 80361 Indonesia"
Warung Kampung,4.5,Asian,100000.0,Badung,"Jl. Melasti No. 20, Legian Indonesia"
Murmur Restaurant Canggu,5.0,Cafe,300000.0,Badung,"Jl. Anggrek No.2, Tibubeneng 80361 Indonesia"
Ely's Kitchen Ubud,5.0,Asian,300000.0,Gianyar,"Jl. Suweta No.88 Adiwana Unagi Suites, Ubud 80571 Indonesia"
