Nama Tempat Wisata,Harga Tiket Masuk WNI Dewasa,Harga Tiket Masuk WNI Anak-Anak,Harga Tiket Masuk WNA Dewasa,Harga Tiket Masuk WNA Anak-Anak
Pura Lempuyang,Rp100.000,Rp100.000,Rp100.000,Rp100.000
Pura Besakih,Rp45.000,Rp45.000,Rp75.000,Rp75.000
Bukit Jambul,Gratis,Gratis,Gratis,Gratis
Taman Ujung Karangasem,Rp75.000,Rp75.000,Rp100.000,Rp100.000
Candidasa,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Tirta Gangga,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Tulamben,Gratis,Gratis,Gratis,Gratis
Amed,Gratis,Gratis,Gratis,Gratis
Pantai Padang Bai,Gratis,Gratis,Gratis,Gratis
Pantai Virgin Perasi Karangasem,Rp10.000,Rp10.000,Rp20.000,Rp20.000
Pantai Bias Tugel,Gratis,Gratis,Gratis,Gratis
Lahangan Sweet,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Taman Edelweis,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Rumah Pohon Menega,Rp25.000,Rp25.000,Rp25.000,Rp25.000
Desa Sidemen,Gratis,Gratis,Gratis,Gratis
Air Terjun Gembleng,Rp10.000,Rp10.000,Rp25.000,Rp25.000
Desa Tenganan,Rp10.000,Rp10.000,Rp50.000,Rp50.000
Pura Goa Lawah,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Pantai Goa Lawah,Rp5.000,Rp5.000,Rp5.000,Rp5.000
Kerta Gosa,Rp25.000,Rp25.000,Rp35.000,Rp35.000
Pantai Kelingking,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Broken Beach,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Diamond Beach,Rp35.000,Rp35.000,Rp45.000,Rp45.000
Rumah Pohon (Tree House),Rp50.000,Rp50.000,Rp50.000,Rp50.000
Crystal Bay,Rp5.000,Rp5.000,Rp5.000,Rp5.000
Lembongan,Rp150.000,Rp150.000,Rp250.000,Rp250.000
Nusa Penida,Rp100.000,Rp100.000,Rp200.000,Rp200.000
Monkey Forest Ubud,Rp60.000,Rp50.000,Rp80.000,Rp60.000
Puri Ubud,Gratis,Gratis,Gratis,Gratis
Bukit Campuhan,Gratis,Gratis,Gratis,Gratis
Pura Tirta Empul Tampak Siring,Rp30.000,Rp25.000,Rp50.000,Rp25.000
Tari Kecak Uluwatu,Rp150.000,Rp100.000,Rp150.000,Rp100.000
Pura Tanah Lot,Rp35.000,Rp20.000,Rp60.000,Rp30.000
Tirta Gangga,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Pantai Melasti,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Pantai Pandawa,Rp15.000,Rp15.000,Rp15.000,Rp15.000
Garuda Wisnu Kencana Cultural Park,Rp125.000,Rp100.000,Rp125.000,Rp100.000
Air Terjun Tegenungan,Rp25.000,Rp25.000,Rp25.000,Rp25.000
Pantai Lovina,Rp105.000,Rp105.000,Rp105.000,Rp105.000
Air Terjun Gigit,Rp20.000,Rp20.000,Rp20.000,Rp20.000
Air Terjun Sekumpul,Rp10.000,Rp10.000,Rp20.000,Rp20.000
Sawah Bertingkat Tegalalang,Rp25.000,Rp25.000,Rp25.000,Rp25.000
Kebun Raya Bedugul,Rp15.000,Rp15.000,Rp15.000,Rp15.000
Pantai labuan sait/ Pantai Padang Dwasa-Padang,Rp15.000,Rp10.000,Rp15.000,Rp10.000
Pura Tanah Barak,Rp15.000,Rp15.000,Rp15.000,Rp15.000
Handara Gate,Rp50.000,Rp50.000,Rp50.000,Rp50.000
Puncak Wanagiri,Rp100.000,Rp100.000,Rp100.000,Rp100.000
Pantai melasti ungasan,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Pantai Dreamland,Rp20.000,Rp20.000,Rp20.000,Rp20.000
Pantai Balangan,Rp10.000,Rp10.000,Rp10.000,Rp10.000
Pantai Tanah Barak,Rp15.000,Rp15.000,Rp15.000,Rp15.000
Air sanih singaraja Bali,Rp15.000,Rp5.000,Rp15.000,Rp5.000
Air Panas Banjar,Rp20.000,Rp10.000,Rp25.000,Rp15.000
Pura Ulun Danu,Rp50.000,Rp20.000,Rp75.000,Rp45.000
Alas Kedaton,Rp20.000,Rp15.000,Rp50.000,Rp25.000
Taman Kupu Kupu Tabanan,Rp75.000,Rp37.000,Rp150.000,Rp75.000
Jatiluwih,Rp40.000,Rp40.000,Rp45.000,Rp45.000
Upside Down World  Bali,Rp100.000,Rp50.000,Rp150.000,Rp100.000
Circus Waterpark Kuta Bali,Rp100.000,Rp75.000,Rp250.000,Rp150.000
Tiket tari kecak melasi,Rp150.000,Rp100.000,Rp150.000,Rp100.000
Sangeh monkey forest,Rp10.000,Rp10.000,Rp25.000,Rp25.000
museum bali,Rp50.000,Rp25.000,Rp50.000,Rp25.000
monumen bajra sandhi,Rp25.000,Rp10.000,Rp50.000,Rp25.000
big garden corner,Rp35.000,Rp35.000,Rp50.000,Rp50.000
Desa Kintamani,Rp25.000,Rp25.000,Rp50.000,Rp50.000
Danau Batur,Gratis,Gratis,Gratis,Gratis
Air panas Toya Devasya,Rp60.000,Rp30.000,Rp280.000,Rp185.000
Desa Penglipuran,Rp25.000,Rp15.000,Rp50.000,Rp25.000
Bukit Cinta Pertempuran,Gratis,Gratis,Gratis,Gratis
Taman Kupu-Kupu ,Rp100.000,Rp50.000,Rp150.000,Rp100.000
Kanto Lampo Waterfall,Rp15.000,Rp15.000,Rp15.000,Rp15.000
Bali Zoo Park,Rp140.000,Rp110.000,Rp395.000,Rp265.000
Taman nusa Bali,Rp85.000,Rp70.000,Rp250.000,Rp175.000
Gunung kawi,Rp30.000,Rp30.000,Rp50.000,Rp50.000
Goa Gajah,Rp30.000,Rp30.000,Rp50.000,Rp50.000
ubud monkey forest,Rp60.000,Rp50.000,Rp80.000,Rp60.000
Bali Bird Park,Rp140.000,Rp100.000,Rp265.000,Rp175.000
Bali Safari Marine Park,Rp175.000,Rp135.000,Rp650.000,Rp450.000
Pura Batuan,Rp10.000,Rp10.000,Rp25.000,Rp25.000
Desa Mas,Gratis,Gratis,Gratis,Gratis
Desa Cekyk,Gratis,Gratis,Gratis,Gratis
Desa batubulan,Gratis,Gratis,Gratis,Gratis
Pasa Sukawati,Gratis,Gratis,Gratis,Gratis
